project_id;name;display_name;description;category;home_url;logo_url;devstats_url;accepted_at;maturity;foundation
00000000-0001-0000-0000-000000000000;artifact-hub;Artifact Hub;Artifact Hub is a web-based application that enables finding, installing, and publishing packages and configurations for CNCF projects.;app definition;;https://raw.githubusercontent.com/cncf/artwork/master/projects/artifacthub/icon/color/artifacthub-icon-color.svg;https://artifacthub.devstats.cncf.io/;2020-06-23;sandbox;cncf
00000000-0002-0000-0000-000000000000;containerd;;An industry-standard container runtime with an emphasis on simplicity, robustness and portability.;runtime;;https://raw.githubusercontent.com/cncf/artwork/master/projects/containerd/icon/color/containerd-icon-color.svg;https://containerd.devstats.cncf.io;2017-03-29;graduated;cncf
00000000-0003-0000-0000-000000000000;core-dns;CoreDNS;CoreDNS is a DNS server. It is written in Go. It can be used in a multitude of environments because of its flexibility. ;orchestration;;https://raw.githubusercontent.com/cncf/artwork/master/projects/coredns/icon/color/coredns-icon-color.svg;https://coredns.devstats.cncf.io;2017-02-27;graduated;cncf
00000000-0004-0000-0000-000000000000;envoy;Envoy;Envoy is an open source edge and service proxy, designed for cloud-native applications.;orchestration;;https://raw.githubusercontent.com/cncf/artwork/master/projects/envoy/icon/color/envoy-icon-color.svg;https://envoy.devstats.cncf.io/;2017-09-13;graduated;cncf
00000000-0005-0000-0000-000000000000;etcd;etcd;Distributed reliable key-value store for the most critical data of a distributed system.;orchestration;;https://raw.githubusercontent.com/cncf/artwork/master/projects/etcd/icon/color/etcd-icon-color.svg;https://etcd.devstats.cncf.io/;2018-12-11;graduated;cncf
00000000-0006-0000-0000-000000000000;fluentd;Fluentd;Fluentd is an open source data collector for unified logging layer.;observability;;https://raw.githubusercontent.com/cncf/artwork/master/projects/fluentd/icon/color/fluentd-icon-color.svg;https://fluentd.devstats.cncf.io/;2016-11-08;graduated;cncf
00000000-0007-0000-0000-000000000000;harbor;Harbor;An open source trusted cloud native registry project that stores, signs, and scans content.;provisioning;;https://raw.githubusercontent.com/cncf/artwork/master/projects/harbor/icon/color/harbor-icon-color.svg;https://harbor.devstats.cncf.io/;2018-07-31;graduated;cncf
00000000-0008-0000-0000-000000000000;helm;Helm;The Kubernetes Package Manager.;app definition;;https://raw.githubusercontent.com/cncf/artwork/master/projects/helm/icon/color/helm-icon-color.svg;https://helm.devstats.cncf.io/;2018-06-01;graduated;cncf
00000000-0009-0000-0000-000000000000;jaeger;Jaeger;Jaeger: open source, end-to-end distributed tracing. Monitor and troubleshoot transactions in complex distributed systems.;observability;;https://raw.githubusercontent.com/cncf/artwork/master/projects/jaeger/icon/color/jaeger-icon-color.svg;https://jaeger.devstats.cncf.io/;2017-09-13;graduated;cncf
00000000-0010-0000-0000-000000000000;kubernetes;Kubernetes;Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications.;orchestration;;https://raw.githubusercontent.com/cncf/artwork/master/projects/kubernetes/icon/color/kubernetes-icon-color.svg;https://k8s.devstats.cncf.io/;2016-03-10;graduated;cncf
