project_id;name;display_name;description;category;home_url;logo_url;accepted_at;maturity;organization_id
10000000-0001-0000-0000-000000000000;angel-ml;Angel ML;The Angel Project is a high-performance distributed machine learning platform based on Parameter Server, running on YARN and Apache Spark;machine learning;;;2018-06-07;graduated;10000001-0000-0000-0000-000000000000
10000000-0002-0000-0000-000000000000;pyro;Pyro;Deep universal probabilistic programming with Python and PyTorch;programming;;;2019-01-17;graduated;10000002-0000-0000-0000-000000000000
10000000-0003-0000-0000-000000000000;milvus;Milvus;An open source vector database powered by Faiss, NMSLIB and Annoy;data;;;2020-01-16;graduated;10000003-0000-0000-0000-000000000000
10000000-0004-0000-0000-000000000000;egeria;Egeria;Open Metadata and Governance;data;;https://raw.githubusercontent.com/lfai/artwork/main/projects/egeria/icon/color/egeria-icon-color.svg;2020-09-24;graduated;10000004-0000-0000-0000-000000000000
10000000-0005-0000-0000-000000000000;horovod;Horovod;Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet;model;;;2018-12-06;graduated;10000005-0000-0000-0000-000000000000
10000000-0006-0000-0000-000000000000;onnx;ONNX;Open standard for machine learning interoperability;model;;;2019-10-31;graduated;10000006-0000-0000-0000-000000000000
10000000-0007-0000-0000-000000000000;acumos;Acumos;LF AI & Data Foundation supports open source innovation in artificial intelligence and data;model;;;2018-03-26;graduated;10000007-0000-0000-0000-000000000000
10000000-0008-0000-0000-000000000000;flyte;Flyte;Kubernetes-native workflow automation platform for complex, mission-critical data and ML processes at scale. It has been battle-tested at Lyft, Spotify, Freenome, and others and is truly open-source;model;;;2021-02-25;graduated;10000008-0000-0000-0000-000000000000
10000000-0009-0000-0000-000000000000;adversarial-robustness-toolbox;Adversarial Robustness Toolbox;Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams;trusted & responsible ai;https://adversarial-robustness-toolbox.org;https://raw.githubusercontent.com/lfai/artwork/main/projects/adversarial-robustness-toolbox/icon/color/adversarial-robustness-toolbox-icon-color.svg;2020-06-18;graduated;10000009-0000-0000-0000-000000000000
10000000-0010-0000-0000-000000000000;forestflow;ForestFlow;ForestFlow is a policy-driven Machine Learning Model Server. It is an LF AI Foundation incubation project.;machine learning;;;;incubating;10000010-0000-0000-0000-000000000000
10000000-0011-0000-0000-000000000000;tony;TonY;TonY is a framework to natively run deep learning frameworks on Apache Hadoop.;deep learning;;;2021-07-15;incubating;10000011-0000-0000-0000-000000000000
10000000-0012-0000-0000-000000000000;kompute;Kompute;General purpose GPU compute framework built on Vulkan to support 1000s of cross vendor graphics cards (AMD, Qualcomm, NVIDIA & friends). Blazing fast, mobile-enabled, asynchronous and optimized for advanced GPU data processing usecases. Backed by the Linux Foundation.;programming;;;2021-05-06;incubating;10000012-0000-0000-0000-000000000000
10000000-0013-0000-0000-000000000000;datapractices;DataPractices;Datapractices site;data;;;2020-11-05;incubating;10000013-0000-0000-0000-000000000000
10000000-0014-0000-0000-000000000000;opends4all;OpenDS4All;OpenDS4All project, hosted by LF AI & Data;data;https://github.com/odpi/OpenDS4All;https://raw.githubusercontent.com/lfai/artwork/main/projects/opends4all/icon/color/opends4all-icon-color.svg;2020-09-24;incubating;10000004-0000-0000-0000-000000000000
10000000-0015-0000-0000-000000000000;janusgraph;JanusGraph;JanusGraph: an open-source, distributed graph database;data;;;2020-12-03;incubating;10000014-0000-0000-0000-000000000000
10000000-0016-0000-0000-000000000000;amundsen;Amundsen;Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data;data;;;2020-08-30;incubating;10000015-0000-0000-0000-000000000000
10000000-0017-0000-0000-000000000000;datashim;Datashim;A kubernetes based framework for hassle free handling of datasets;data;;;2021-01-14;incubating;10000016-0000-0000-0000-000000000000
10000000-0018-0000-0000-000000000000;marquez;Marquez;Collect, aggregate, and visualize a data ecosystem's metadata;data;;;2019-12-19;incubating;10000017-0000-0000-0000-000000000000
10000000-0019-0000-0000-000000000000;feast;Feast;Feature Store for Machine Learning;data;;;2020-09-24;incubating;10000018-0000-0000-0000-000000000000
10000000-0020-0000-0000-000000000000;nnstreamer;NNStreamer;Neural Network (NN) Streamer, Stream Processing Paradigm for Neural Network Apps/Devices;data;;;2020-03-12;incubating;10000019-0000-0000-0000-000000000000
10000000-0021-0000-0000-000000000000;adlik;Adlik;Toolkit for Accelerating Deep Learning Inference;model;;;2019-09-26;incubating;10000020-0000-0000-0000-000000000000
10000000-0022-0000-0000-000000000000;kserve;KServe;Serverless Inferencing on Kubernetes;model;;;2021-11-18;incubating;10000021-0000-0000-0000-000000000000
10000000-0023-0000-0000-000000000000;substra;Substra;Substra is a framework for traceable ML orchestration on decentralized sensitive data;model;;;2021-03-25;incubating;10000022-0000-0000-0000-000000000000
10000000-0024-0000-0000-000000000000;ludwig;Ludwig;Ludwig is a toolbox that allows to train and evaluate deep learning models without the need to write code;model;;;2020-05-07;incubating;10000023-0000-0000-0000-000000000000
10000000-0025-0000-0000-000000000000;kedro;Kedro;A Python framework for creating reproducible, maintainable and modular data science code;model;;;2021-09-09;incubating;10000024-0000-0000-0000-000000000000
10000000-0026-0000-0000-000000000000;aix360;AI Explainability 360 Toolkit;Interpretability and explainability of data and machine learning models;trusted & responsible ai;;;2020-06-18;incubating;10000025-0000-0000-0000-000000000000
10000000-0027-0000-0000-000000000000;aif360;AI Fairness 360 Toolkit;A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models;trusted & responsible ai;;;2020-06-18;incubating;10000026-0000-0000-0000-000000000000
10000000-0028-0000-0000-000000000000;elasticdeeplearning;Elastic Deep Learning;Elastic Deep Learning for deep learning framework on Kubernetes;distributed computing;;;2018-07-05;incubating;10000027-0000-0000-0000-000000000000
10000000-0029-0000-0000-000000000000;soajs;SOAJS;LF AI & Data Foundation supports open source innovation in artificial intelligence and data.;distributed computing;;;2020-09-10;incubating;10000028-0000-0000-0000-000000000000
10000000-0030-0000-0000-000000000000;sparklyr;;R interface for Apache Spark;distributed computing;;;2019-12-05;incubating;10000029-0000-0000-0000-000000000000
